0,Odczuwalna,Ciśnienie,Wilgotność,Zwykla temperatura,Opis pogody,Miejsce,Prędkosc wiatru,Data pomiaru,Zwykła temperatura,Prędkość wiatru
,,,,,,,,,,
,23.0,1016.0,57.0,23.14,few clouds,Lisbon,16.67,2025-07-09 19:51:03.734602,,
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:24:46.717997,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:24:49.531936,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:25:00.320742,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:25:10.778388,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:25:21.426741,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:25:31.614418,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:25:41.801616,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:25:52.016666,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:26:02.183971,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:26:12.372024,28.91,29.63
,28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:26:22.677568,28.91,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:26:32.942019,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:26:43.163373,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:26:53.406765,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:27:03.626793,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:27:13.833131,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:27:24.044987,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:27:34.241161,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:27:44.435185,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:27:54.641893,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:28:04.850238,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:28:15.312269,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:28:25.542656,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:28:35.828623,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:28:46.030829,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:28:56.297703,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:29:06.501515,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:29:16.691334,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:29:26.933651,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:29:37.143543,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:29:47.352279,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:29:57.571453,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:30:07.779113,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:30:17.995067,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:30:28.223549,28.88,29.63
,28.16,1018.0,36.0,,clear sky,Lisbon,,2025-07-17 17:30:38.452833,28.88,29.63
